company,education,experience,industry,jobdescription,joblocation,jobtitle,numberofpositions,skills,rating,pay
Harjai Computers Pvt Ltd,"UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",6 - 8 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Should have worked independently and a thorough team player Should have experience with ASP.NET, C# and .Net framework 3.5 / 4.0 Experience with Oracle and T-SQL programming. Experience in creating and consuming Web Services and WCF services Experience with ArcGIS Server 9.3.1 / 10.X Web ADF development Experience with ArcGIS 9.3.1/ 10.X customization of web applications using ArcObjects Experience with creating Server Object Extensions (SOE) for ArcGIS Server Experience of programming with Miner and Miner ArcFM desktop and ArcFM Server Experience with ArcGIS Server extensions like Schematics, Network Analysis Good Knowledge on ArcSDE Versioning concepts and editing GIS data on web Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Harjai Computers Pvt Ltd We are currently providing IT Recruitment and Staffing Services to 200+ Companies which includes CMM, PCMM, CMMI and reputed MNCs in India and Abroad. Download PPT Photo 1   View Contact Details",,Need GIS Developer for Delhi Location. Contact me Neha 9594976116,5,,3.7,Not Disclosed by Recruiter
Techsist Solution Pvt Ltd,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 5 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Currently we have an opening for Mobile Application Developers (iOS & Android)  Location-Noida Must have minimum 2 years of experience in same field only local candidates need to apply. Responsible for design, development and maintenance of mobile smart phone and tablet apps(iOS & Android). Non-Technical Skills: 1. Good Programming and Analytical skills 2. Exposure to interact with international clients. 3. Should be capable to contribute in multiple projects simultaneously. If interested can call on this number 9999875693 , 120-4333467 Salary:INR 1,00,000 - 4,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Techsist Solution Pvt Ltd We are an Executive Search Firm. Download PPT Photo 1   View Contact Details",,Opening For IOS & Android Developer,,,3,"1,00,000 - 4,00,000 P.A"
Deepalaya,"UG: Any Graduate PG:Any Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",1 - 5 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Janakpuri, West Delhi Job | Deepalaya | Enabling Self Reliance | The largest operational NGO in Delhi You are here Job Code- 160605 Deepalaya is an ISO 9001: 2008 certified non - government organization that believes in enabling self reliance and is committed to working on issues affecting the urban and rural poor, with a special focus on women and children. The NGO was started on July 16th 1979 by seven founding members, and for more than three decades, has been contributing to the crusade against illiteracy. Over the years, Deepalaya has established several projects in the areas of Education (Formal/ Non- Formal/ Remedial) , Women Empowerment (reproductive health, SHG, Micro- finance) , Institutional care, Community health, Vocational training and Differently Abled. These projects are operational in Delhi, Haryana, Uttar Pradesh and Uttarakhand. Job Title- Tele Calling Executives Job Location- Janakpuri, West Delhi No of Post- 2 Job Responsibilities - Contacting individual, Corporate and Funding agencies for generating leads. - Fixing appointment for marketing Corporate Social Responsibility proposals. - Talking to people about sponsorship, donation boxes. - Assisting marketing department in generate more revenue. - Should have experience of Tele Calling - Result Oriented - Should have good communication skills and command over the language. Qualification Bachelors Degree in any field Salary Rs. 20, 000 to 25, 000 PM How to Apply Provide us your following details along with C.V at our corporate Human Resource (H.R) Department email id hrd (at) deepalaya (dot) org 1. Current organization and location 2. Present Salary 3. Joining Period Subject of emailshould be: Job Code || Relevant Work experience in months For example: 130102 || 30 months Our Helping Hands ShareThis Copy and Paste Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: Marketing , Advertising , MR , PR , Media Planning Role Category:Marketing Role:Marketing Manager Desired Candidate Profile Education- UG: Any Graduate PG:Any Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Deepalaya Deepalaya Download PPT Photo 1   View Contact Details",,tele calling executives,,,3.1,Not Disclosed by Recruiter
GI Staffing Services Pvt. Ltd,"UG: BCA - Computers, B.Sc - Any Specialization, B.Tech/B.E. - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 - 1 yrs,Recruitment / Staffing,"Job Description   Send me Jobs like this Hiring Freshers !!!! Require IT Recruiter :: 5 days Working, Noida Job Description- 1.The incumbent should have good communication skills. 2. Graduate with BCA, B.Tech, BE, B.Sc (Freshers) 3. Will be doing Candidate Management. 4. Will be servicing Junior , middle or senior level mandates. 5. The candidate would be required to facilitating candidate interviews with the clients. Working Days: 5 days!!! Work Timing: 9:00am to 5:30pm Salary: Not Disclosed by Recruiter Industry: Recruitment / Staffing Functional Area: HR , Recruitment , Administration , IR Role Category:HR/ Recruitment / IR Role:Recruitment Executive Desired Candidate Profile Education- UG: BCA - Computers, B.Sc - Any Specialization, B.Tech/B.E. - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: GI Staffing Services Pvt. Ltd GI Staffing Services Pvt. Ltd Download PPT Photo 1   View Contact Details",,IT Recruiter,,,2.8,Not Disclosed by Recruiter
PROGRESSIVE INFOVISION PVT LTD,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",1 - 2 yrs,IT-Hardware & Networking,"Job Description   Send me Jobs like this Dear Candidate, We have  an urgent requirement of  field computer hardware  Engineer  ,  Installation  and trouble shooting , repair of  PC and  laptops,. printer,, scanner, computer and all other company devices and driver software etc..Installation & Trouble shooting of  Windows 88 / 2000 / Xp / win 2007-2008 etc Salary:INR 50,000 - 1,50,000 P.A. salary is based on experience Industry: IT-Hardware & Networking Functional Area: IT Hardware , Technical Support , Telecom Engineering Role Category:Technical Support Role:Customer Support Engineer/Technician Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: PROGRESSIVE INFOVISION PVT LTD Channel Partner of Wipro/specializes in IT recruitment /had built up an enviable reputation with a strong & loyal client base/Had gained enormous process & operations maturity th a decade plus of exp in delivering onsite services to customers Download PPT Photo 1   View Contact Details",,we Require Hardwrae Laptop Printer Repairing Engrs,10,,2.6,"50,000 - 1,50,000 P.A. salary is based on experience"
Poonam IT Consulting Services Pvt Ltd,"UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",5 - 9 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Skills required- 1.) RHCE (Linux ES 5,6), Mysql 2.) apache, jboss installation/configuration 3.) bash/php Scripting 4.) Network understanding 5.) Windows, IIS webserver configuration 6.) Understanding of Monitoring system(Nagios) Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Systems , EDP , MIS Role Category:Programming & Design Role:System Analyst Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Poonam IT Consulting Services Pvt Ltd PITCS is an integrated IT solutions and HR Staffing service provider headquartered in Bangalore, India. Our offerings span across Software Services (Product Engineering, Application Development, Application Management, Mobile Application Development etc), Managed IT Services, Business Applications, HR Services (Staffing, RPO, Recruitment, Payroll etc). Download PPT Photo 1   View Contact Details",,System Engineer - Linux,2,,3.6,Not Disclosed by Recruiter
Gratitude India,UG: Graduation Not Required PG:Post Graduation Not Required,0 - 5 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this Process:Banking,Telecom, collections,customer serve,technical support and many more. >12th Pass/ Under graduate / Any graduate. >Freshers / Experience >Excellent Spoken English >AUS / UK / USA Shift >Salary:Up to 5.5 lakhs +inc+ Cab Call 9620229588 Salary:INR 2,25,000 - 6,00,000 P.A. Best in the Industry & Excellent Incentives! Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills graduate fresher bpo calls calling voice international transport insurance banking good best incentive customer service US UK Australian DAY Shift Night call center Salary corporate collections sales inbound outbound tcs Desired Candidate Profile Do think twice before making your choice between a LOCAL & a NATIONAL Consultant. We have huge advantage in terms of Salary negotiation, Shifts, Location, etc. > EXCELLENT ENGLISH NEEDED > NO BACKOFFICE STRICTLY Call HR.Manager - Mohan 9620229588 Education- UG: Graduation Not Required PG:Post Graduation Not Required Company Profile: Gratitude India FIXED SHIFT INTERNATIONAL BPOs !! Pilot Process & Weekends OFF ! Both side Pick up & Drop facilities! For More Information Cal OR Whatsapp Mohan 9620229588 Download PPT Photo 1   View Contact Details",,"JP Morg@n,@mex,tc$, Hiring for Banking Process Uk Shift Salary 5L",,,4.6,"2,25,000 - 6,00,000 P.A. Best in the Industry & Excellent Incentives!"
FIS Global Business Solutions India Pvt. Ltd.,"UG: B.Tech/B.E. PG:M.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",3 - 8 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Designation to be offered SSE - Application Support Technology Name Java Application Support Experience 3- 8 years Work Location Gurgaon Essential Skills Broad knowledge of architecture of enterprise level information technology hardware (e.g., WAN, LAN and computer systems and peripherals) and software platforms. Deploying product features and updates on application servers Jboss. Knowledge and understanding of networking technologies. (VPN, Load Balancers, Firewalls, Routers, etc.) Understanding of internet technologies. (Web servers, encryption, XML, HTTP, Web Services, etc.) Experience with IT infrastructure tools such as application and server monitoring, log management, IPS/ IDS, vulnerability management, etc. Experience with Databases, SQL, LDAP, and Linux/ Unix. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Admin/Maintenance/Security/Datawarehousing Role:Technical Support Engineer Desired Candidate Profile Education- UG: B.Tech/B.E. PG:M.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: FIS Global Business Solutions India Pvt. Ltd. FIS Global Business Solutions India Pvt. Ltd. Download PPT Photo 1   View Contact Details",,Java Application Support,,,3.2,Not Disclosed by Recruiter
Infoicon Technologies Pvt. Ltd.,"UG: B.Sc PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 - 3 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Job Description : - Analyzing website strategies and translating qualitative or anecdotal data into recommendations and tactics for revising the strategies. skills required : - 1. Good knowledge of internet 2. knowledge about search engine 3. good communication skills. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - eCommerce , Internet Technologies Role Category:Admin/Maintenance/Security/Datawarehousing Role:Webmaster Desired Candidate Profile Education- UG: B.Sc PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Infoicon Technologies Pvt. Ltd. Infoicon Technologies Pvt. Ltd. Download PPT Photo 1   View Contact Details",,SEO CONSULTANT,,,4.3,Not Disclosed by Recruiter
Xperia Technologies Pvt. Ltd.,"UG: B.Tech/B.E. PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 5 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this - Preferably with 2 years of experience in Java and Android Technology - Complete knowledge of API Integration and Android Security Concepts - - Should have good Knowledge of Core as well as Advance Java and Android Application development, Deployment of Applications - Work knowledge of Live Projects and Live implementations. - Should have good communication skill. • Job Description: Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Desired Candidate Profile Education- UG: B.Tech/B.E. PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Xperia Technologies Pvt. Ltd. Xperia Technologies Pvt. Ltd. Download PPT Photo 1   View Contact Details",,Java Cum Android Developer,,,3,Not Disclosed by Recruiter
TalPro,"UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",15 - 20 yrs,Internet / Ecommerce,"Job Description   Send me Jobs like this - Partner with managers and HR to improve and strengthen the recruiting process - Require experience in handling volume hiring of close to 1000-2000 recruits, experience not limiting to hiring of unskilled labour, workmen Salary: Not Disclosed by Recruiter Industry: Internet / Ecommerce Functional Area: HR , Recruitment , Administration , IR Role Category:Senior Management Role:Head/VP/GM-Recruitment Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required - 10-16 years of experience in recruitment function - Excellent communication, client service and negotiation skills - Strong attention to detail - Ability to manage multiple priorities - Passion for recruitment - MBA from a top tier B School Company Profile: TalPro We are India's Fastest Recruitment & Staffing Services Company exclusively for mid-management and senior professionals ,the pioneer of organized recruitment services in India, with a vision to redefine senior recruitment. Download PPT Photo 1   View Contact Details",,VP - Talent Acquisition,,,3.7,Not Disclosed by Recruiter
Ikya Human Capital Solutions Pvt Ltd,UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization,0 - 5 yrs,BPO / Call Centre / ITES,"Job Description   Send me Jobs like this International voice process jobs in banking process Perks and benefits: Salary: Irrespective of experience if you get through the interview salary will be 3.3 lakhs per annum (22k take home) Allowance, Incentives, Cab facility, Attendance bonus We have huge openings for Banking voice process jobs where You will be the first point of contact to the International customers of the bank You can get associated with International and domestic banks and explore the greater avenues in the field of banking You can synchronize your good speaking skills or relevant exp in voice process with the wish to make your career in banking sector The process is basically into inbound process not in outbound Pre-requisites to apply for this job Are you a graduate if not do you have voice process experience then you can apply! Looking for Candidate with excellent communication skills in english We are looking for immediate joiners!! Should be willing to work in UK shift Note: IKYA Human capital solutions is one of the top recruitment service providing organisation in India and when we say service we dont charge anything. We just help you to get the relevant job Job location: Bangalore Eligibility: Fresher/Experienced Shifts: UK shift Customer service in banking process Customer service is an important, but broad concept in the banking industry. In essence, banks are service-based businesses, so most of their activities involve elements of service. Customer service managers generally deal directly with service issues, but several other common banking jobs involve service. Banking process is a highly specialized sourcing strategy used by banks and lending institutions to support the business acquisition and account servicing activities associated with the customer lending lifecycle. These specific services are usually offered through multi-year service-level agreements of the financial services market. Duties Handle transactions and answer customer queries Decipher customer needs and offer the best solution based on proper company policies Effectively communicate ideas, suggestions and answers Refer customers to people who specialize with the type of problem or query they present Complete complex money-related transactions Offer upgrades and new banking services or products Skills Effective listener and communicator Good problem solving and troubleshooting skills Ability to follow instructions and procedures up to the tiniest detail Keen eye for detail and the drive to serve satisfactorily Career path...Where you can see yourself down the line From being the first point of contact to customers of the bank you can be the key person in operations of the bank in future date. It depends upon you how you put your dedication and passion to seek growth in the industry and also how to explore the existing opportunities in the bank you are working or the industry you are into. Do you have the required skills and wish to make your career in banking sector then apply to this job sending your resume to shwetha.ca@ikyaglobal.com or for quick response call @ 9611209386 and fix up your interview Regards CA Shwetha Recruitment consultant-ITES/BPO IKYA Human capital solutions Bangalore Ikya Human Capital Solutions, A Unit of Quess corp, 2nd floor, Raheja Arcade, Beside Punjab grill, Koramangala, Bangalore Landmark: Opposite to Forum mall, Koramangala Contact details Mob: 9611209386 Email : shwetha.ca@ikyaglobal.com â€ƒ Salary:INR 3,00,000 - 3,75,000 P.A. Allowance, Incentives, Cab facility, Attendance bonus Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills International Voice Process voice process mortgage credits UAE process Indigo banking bpo outbound Cold Calling calls inbound cross selling home loans solving phone customer care Fraud Specialist Sales first point ocwen scope HSBC XL dynamics SBI Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization Company Profile: Ikya Human Capital Solutions Pvt Ltd IKYA is the fastest growing HR solutions provider in India, offering world-class services to over 5000+ locations across the country including leading MNCs and large Indian firms across industries and helping nearly 84,000 associates enhance their careers every year. Download PPT Photo 1   View Contact Details",,Process jobs in Leading Company for International Voice Process,27,,3,"3,00,000 - 3,75,000 P.A. Allowance, Incentives, Cab facility, Attendance bonus"
PRATHAM VISION,"UG: B.Tech/B.E. PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 5 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Looking for ambitious ASP. NET Developers from mid to senior levels with a passion for engineering and bringing concepts to life. We are seeking self- motivated developers who can collaborate with members of our creative design, marketing and account management team. . . Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Desired Candidate Profile Education- UG: B.Tech/B.E. PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: PRATHAM VISION PRATHAM VISION Download PPT Photo 1   View Contact Details",,ASP.NET Developers,,,5,Not Disclosed by Recruiter
Diksha Technologies,"UG: Any Graduate PG:Any Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",8 - 13 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Strong knowledge of wholesale carrier billing and its related interfaces. Prior experience of Interconnect implementation. Understanding of Interconnect reference data model Intec/CSG Interconnect v7 or v8 or V6. Experience of working with or developing on Intec Interconnect or other carrier billing platform. Experience in software/systems design work. Technical understanding of Business Systems and Services solutions and appreciation of their structure and workings Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Other Role:Fresher Keyskills Intec Interconnect IOA v7 Experts Desired Candidate Profile Education- UG: Any Graduate PG:Any Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Diksha Technologies Diksha was envisioned in the early 2000 by the country\'s leading telecom professionals, who realised the need of providing a focussed and closed niche billing solution. We envisioned a solution that cuts across domains and geographies seamlessly. Bearing this aim and direction in mind, we have achieved exceptional technological brilliance to support major clients worldwide. Download PPT Photo 1   View Contact Details",,Intec Interconnect /IOA v7 Experts,,,3.7,Not Disclosed by Recruiter
Giesecke & Devrient,"UG: Any Graduate PG:Any Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",5 - 10 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Responsibilities: lead and manage C_Product Support performance center oriented represent global CS&S C-segment needs and interest during product creation, within utilization projects and in the product control board (PCB) create and develop C_Product Support as „central point of contact“ for technical support needs and/or quality complaints for the BNPO C-segment create and maintain global training products of the C-segment and for global use create global technical documentation for C-segment follow the lead of Global Product Support and allign process and tools of C_Product Support into the global competence center organzation Autho rities Disciplinary lead of the C_Product Support team Tasks meet yearly budget targets (cost center, investment, productive hours) lead global C_Product Support team (people) maintain C-segment field feedback database with focus to get priority in cost optimization programs and measures to improve product quality resolve technical problems in a timely and cost optimized manner. Assure quality compliant solutions for global use integrate C-segment legacy products step by step into the C_Product Support function Requirem ent management background (min. 5 Years) in the lead of a technical team (preferred technical support, training, technical documentation, life cycle management) experience with technical service teams and / or project teams very good English communication skills (spoken and written) understanding of Cash Centre processes / customer requirements of the banknote processing industry structured and reliable principle of operation intercultural experience and understanding willingn ess to limited travel (also abroad) Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills C Product Support Manager Desired Candidate Profile Education- UG: Any Graduate PG:Any Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Giesecke & Devrient Website http://www.gi-de.com Industry Technology (IT, Telecom, Dot Com etc) (Software Consulting, Software Services Companies) Company Turnover 1 - 100 Crores Company Size 51 - 200 Employees Download PPT Photo 1   View Contact Details",,C Product Support Manager,,,2.7,Not Disclosed by Recruiter
Giesecke & Devrient,"UG: Any Graduate PG:Any Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",5 - 10 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Responsibilities: lead and manage C_Product Support performance center oriented represent global CS&S C-segment needs and interest during product creation, within utilization projects and in the product control board (PCB) create and develop C_Product Support as „central point of contact“ for technical support needs and/or quality complaints for the BNPO C-segment create and maintain global training products of the C-segment and for global use create global technical documentation for C-segment follow the lead of Global Product Support and allign process and tools of C_Product Support into the global competence center organzation Autho rities Disciplinary lead of the C_Product Support team Tasks meet yearly budget targets (cost center, investment, productive hours) lead global C_Product Support team (people) maintain C-segment field feedback database with focus to get priority in cost optimization programs and measures to improve product quality resolve technical problems in a timely and cost optimized manner. Assure quality compliant solutions for global use integrate C-segment legacy products step by step into the C_Product Support function Requirem ent management background (min. 5 Years) in the lead of a technical team (preferred technical support, training, technical documentation, life cycle management) experience with technical service teams and / or project teams very good English communication skills (spoken and written) understanding of Cash Centre processes / customer requirements of the banknote processing industry structured and reliable principle of operation intercultural experience and understanding willingn ess to limited travel (also abroad) Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills C Product Support Manager Desired Candidate Profile Education- UG: Any Graduate PG:Any Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Giesecke & Devrient Website http://www.gi-de.com Industry Technology (IT, Telecom, Dot Com etc) (Software Consulting, Software Services Companies) Company Turnover 1 - 100 Crores Company Size 51 - 200 Employees Download PPT Photo 1   View Contact Details",,C Product Support Manager,,,2.7,Not Disclosed by Recruiter
PropMatrix Technologies Pvt. Ltd.,"UG: Any Graduate PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",1 - 2 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Job Description: Generating leads for CRM software product through database, internet, magazines Cold calling / cold emailing, lead generation and qualification Understand and identify key business needs of prospects The ability to listen carefully to customers and understand their issues Fixing appointments for demos, presentations in relevant locations within India Responsible for database creation Find out ways to reach the market and generate new leads Required: Any graduate / PG 1-2 years of relevant experience in lead generation and doing a warm hand-over to the sales team Experience with different lead generation tools Extremely effective communication skills in English / Hindi Good listening skills, ability to probe and get answers Totally comfortable with the Internet, LinkedIn, Facebook, Twitter, FundooData, IndiaMart, Justdial and other sites for lead generation Articulate in delivery of sales pitch Pro-active self-starter Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: Sales , Retail , Business Development Role Category:Sales Support Role:Telesales/Telemarketing Executive/Officer Keyskills telemarketing crm cold calling tools english facebook linkedin twitter lead generation sales Desired Candidate Profile Education- UG: Any Graduate PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: PropMatrix Technologies Pvt. Ltd. PropMatrix is most trusted & best known real estate software as a Service (SaaS) model customer relationship management (CRM) solutions to real estate agents & Developers which makes sales, leasing, business management and marketing of real estate easy and fast. PropMatrix\'s extensive features list helps you delight your clients with the professional & personalized touch in all your interactions with them whether you are sending out a report on properties matching their interest or sending a reminder through an SMS before every pre-scheduled site visit. Download PPT Photo 1   View Contact Details",,Telemarketing Executive,,,0,Not Disclosed by Recruiter
Impecsoft Solutions Pvt. Ltd,"UG: B.Tech/B.E. PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",4 - 5 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Duties and Responsibilities Coordinate efficiently between clients and our internal/ external teams. Manage effective and clear communication among all the stakeholders Implement the deliverables on time, within budget and within quality norms. Plan and track the deliverables Should be able to conduct analysis. Review the deliverables and make the changes as needed, Hands on Experience is a must Track the action points communicate efficiently and close the action items Conduct risk analysis and communicate to the client regularly Conduct status reviews and communicate to all the relevant teams Job Qualifications and Requirements Skills : Must have 4- 5 years of experience with strong J2EE, .Net, J2EE/ Java based technology, Web Services of which .Net should be at least 3 years Must have experience working at site, preferably in the US Hands on experience on above mentioned technologies Excellent communication skills and leadership qualities H1- B visa desired Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Project Lead Desired Candidate Profile Education- UG: B.Tech/B.E. PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Impecsoft Solutions Pvt. Ltd Impecsoft Solutions Pvt. Ltd Download PPT Photo 1   View Contact Details",,DOT NET Project Lead,,,0,Not Disclosed by Recruiter
Unitforce technologies Pvt. Ltd.,"UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",4 - 9 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Job Description: Key skills required for the job are: SAP ISU Billing (Mandatory) As a Consultant, you should have in-depth knowledge in any one technological or industry practice / functional area and overview of 2-3 other areas. You should handle solution definition/ fitment for a small sized project with a medium complexity. You should be able to build a custom Function Module with medium complexity program logic. Minimum work experience:> 5 Years Skill and Experience Details: Minimum Experience Required: Mandatory Skills: SAP ISU Billing Consulting, SAP ISU Device Management, SAP ISU Billing Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Other Role Category:System Design/Implementation/ERP/CRM Role:Functional Outside Consultant Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Unitforce technologies Pvt. Ltd. www.uftech.com Download PPT Photo 1   View Contact Details",,SAP ISU Consultant,,,4.2,Not Disclosed by Recruiter
Synactive Inc,"UG: Any Graduate PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 5 yrs,IT-Software / Software Services,"Job Description   Send me Jobs like this Roles & Responsibilities Develop SAP solution through NetWeaver portal for web/ pocket PC client based on GuiXT server with Win32 programming. Detailed job duties include the following Develop new features, maintain feature set and debug/ fix any issues reported by customers and in house for all GuiXT product utilizing Visual Stuido on multiplatform such as Windows Server products to Mobile PCs; Program multithreading and inter- process communication for product synchronizations Qualification: Bachelors Degree in Computer Science, Electrical Engineering, Mechatronic Engineering or a related field and at least five years progressive experience in the field of software design and development. Must have experience in desktop and mobile application development on Windows platform using C/ C , Win32 and experience in multithreading, inter- process communications. Must have completed at least one full development cycles Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Telecom Software Role Category:Programming & Design Role:Software Developer Desired Candidate Profile Education- UG: Any Graduate PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Synactive Inc Synactive Inc Download PPT Photo 1   View Contact Details",,Software Engineer,,,3,Not Disclosed by Recruiter
